x-0.34649822815298925; y-0.133299065382398; r0.3102762430939227; vx-0.1505796693801078; vy-0.043742742052490124; vr0.09546961325966907;
x-0.8100349416506961; y-0.1630526691975765; r0.3699447513812156; vx-1.5949593511576126; vy0.037733624768131774; vr-0.10740331491712546;
x-1.2247175079310695; y-0.1657514108320392; r0.3699447513812156; vx-0.40728462675407684; vy0.0187806126201836; vr-0.04773480662983354;
x-1.6169751144315039; y-0.13581130701618588; r0.2983425414364642; vx-0.37710199144894396; vy0.01945290117496712; vr-0.04773480662983354;
x-2.0844693314855007; y-0.13170713620548796; r0.2506077348066297; vx-0.4525900913385117; vy0.04082183062981737; vr-0.09546961325966996;
x-2.582139855792759; y-0.12313645225761549; r0.22674033149171288; vx-0.7693365736482338; vy0.06111979764540465; vr-0.14320441988950078;
x-3.0120274191170466; y-0.08925976167858866; r0.13127071823204442; vx-0.4828148946857169; vy0.08447095602323662; vr-0.19093922651933692;
x-3.4493619524778945; y-0.07939577675193767; r0.10740331491712694; vx-0.5579102649375294; vy-0.022424395970391142; vr0.04773480662983348;
x-3.867813520908235; y-0.08555230683891978; r0.11933701657458602; vx-0.5428660330196298; vy-0.0011306959607146894; vr0.0;
x-4.331526788989572; y-0.08884526085661584; r0.10740331491712693; vx-0.5881496388341638; vy0.020269774974277732; vr-0.0477348066298392;
x-4.795161440153829; y-0.12101012983464914; r0.14320441988950208; vx-0.6182145648426243; vy-0.022911196365329956; vr0.04773480662983354;
x-5.262586081338166; y-0.14065646541444288; r0.16707182320442027; vx-0.618329571364729; vy0.019563033464942925; vr-0.04773480662983354;
x-5.839508042167784; y-0.10455945792490894; r0.0835359116022102; vx-0.769497355062704; vy0.14822001044513405; vr-0.33414364640884026;
x-6.450233004917241; y-0.10544988132230931; r0.0835359116022102; vx-0.7841406929128816; vy-0.0011432596707363074; vr0.0;
x-7.008216469375935; y-0.07378805789174954; r0.0119337016574585; vx-0.7389560593945141; vy0.06386860277893741; vr-0.1432044198895006;
x-7.600098764994698; y-0.06536779242549479; r-0.02386740331491665; vx-0.7238587003944765; vy0.08567744229657503; vr-0.19093922651933415;
x-8.097438109249403; y0.08813522306558313; r-0.2625414364640871; vx-0.8095669464599453; vy0.35710653286576105; vr-0.5370165745856342;
x-8.642642325039418; y0.3206726250569064; r-0.5370165745856356; vx-0.9203757598392226; vy0.4372247655531175; vr-0.5370165745856414;
x-9.246651332613233; y0.6003895196063838; r-0.8592265193370175; vx-0.8988236292956664; vy0.5158116279832281; vr-0.9546961325966846;
x-9.588220513383114; y0.6994035673264153; r-0.9666298342541432; vx-0.37607813519969113; vy0.05792821929702319; vr-0.0477348066298342;
x-9.918458649095932; y0.7901152677239915; r-1.0382320441988964; vx-0.25844650804405944; vy0.09813860112012018; vr-0.10740331491713428;
x-10.247421527722176; y0.9405799023234045; r-1.15756906077348; vx-0.22416985051357052; vy0.10455630238925362; vr-0.07160220994474997;
x-10.54781191637645; y1.0027266870734943; r-1.1814364640883996; vx-0.22614658574378943; vy0.004663793699857255; vr-1.4432899320127035E-14;
x-10.837924124696945; y1.0140632590430578; r-1.1933701657458553; vx-0.13524476221070358; vy0.024288449008822433; vr-0.0477348066298342;
x-11.098172226686914; y1.0107970014683088; r-1.15756906077348; vx-0.030153134519295577; vy6.092784796081219E-4; vr0.0;
x-10.852698631543854; y1.2026688561361671; r-1.4439779005524866; vx0.04927932522127776; vy0.166650418174644; vr-0.23867403314917812;
x-10.7126328342555; y1.6118267511896907; r-1.9929281767955778; vx0.4256510128212767; vy1.054127142827305; vr-1.4320441988950243;
