x-0.3053699040833806; y0.05274961852945908; r-0.08353591160220991; vx-0.1809019778103107; vy0.08609202177443291; vr-0.19093922651933679;
x-0.644425177977582; y0.14405144854772203; r-0.25060773480662973; vx-0.19210242333949623; vy0.039541095549724015; vr-0.035801104972375736;
x-1.0250075728131014; y0.18449311301439283; r-0.2864088397790056; vx-0.3465804018419707; vy0.05331492874187982; vr-0.0477348066298342;
x-1.4169206088653103; y0.21558843429109809; r-0.3341436464088397; vx-0.3918322126380911; vy0.04511204099864874; vr-0.09546961325966863;
x-1.854287187890734; y0.20729971943448783; r-0.3102762430939229; vx-0.4675824727049527; vy-0.018865546182763038; vr0.047734806629833315;
x-2.400871457439462; y0.2189093630328639; r-0.34607734806629803; vx-0.5579878976466244; vy-0.005410524290122454; vr-0.047734806629833315;
x-2.796676933686845; y0.226672345209543; r-0.3580110497237571; vx-0.5426072695552584; vy0.04615468641854159; vr-0.09546961325966974;
x-3.2415841757174193; y0.21864432879194168; r-0.3341436464088404; vx-0.5580665087940684; vy-0.018124266045820514; vr0.04773480662983043;
x-3.7203970907114488; y0.215894148396517; r-0.3222099447513813; vx-0.6480942814290263; vy0.06772473827478198; vr-0.1432044198895035;
x-4.172896326541143; y0.19682442658243832; r-0.27447513812154706; vx-0.6034014600758972; vy-0.039848091457621915; vr0.09546961325966996;
x-4.625333086845853; y0.18824198941615455; r-0.2506077348066303; vx-0.4637680774585293; vy-0.01399612716235879; vr0.03580110497237515;
x-5.1156985815228655; y0.12914804032619825; r-0.131270718232045; vx-0.9251455689090671; vy-0.3290160727671751; vr0.6563535911602183;
x-5.620775174462078; y0.173848404661195; r-0.2267403314917135; vx-0.6333401196437549; vy0.0025063713164761303; vr0.0;
x-6.1447972980063446; y0.1737560086965893; r-0.23867403314917188; vx-0.6483345839762791; vy0.02406062073457238; vr-0.04773480662983354;
x-6.729194055076897; y0.15989804131307978; r-0.20287292817679528; vx-1.1989442095302252; vy-0.027747377577344245; vr0.07160220994475047;
x-7.2156427390661415; y0.12400443159421268; r-0.11933701657458523; vx-1.3353393320375524; vy-0.22096801812387323; vr0.5012154696132602;
x-7.78863452448671; y0.14707349593454452; r-0.1670718232044202; vx-0.6484887136491757; vy-0.019468808886708544; vr0.04773480662983354;
x-8.346675736706455; y0.1119809192815591; r-0.11933701657458665; vx-0.48640602497071406; vy-0.03762621561928829; vr0.03580110497237515;
x-8.897109167761572; y0.10543049171437115; r-0.11933701657458665; vx-0.69366215330286; vy0.0014447781720293151; vr-1.1157741397482823E-14;
x-9.432491532941327; y0.0774355939074701; r-0.07160220994475032; vx-0.7238935741552552; vy-0.04178334876050316; vr0.09546961325967823;
x-9.99045266028039; y0.06722609784630175; r-0.04773480662983356; vx-0.7690483005371362; vy0.021975284125472117; vr-0.047734806629833565;
x-10.555955926488316; y0.04619698988965086; r-1.8636062586700294E-17; vx-0.6220654435662603; vy-0.047974483566253674; vr0.10740331491712543;
x-11.11767491606501; y0.04074949449699152; r0.011933701657458365; vx-0.5315641463319096; vy0.015899627155217075; vr-0.035801104972375146;
x-11.641698144252967; y0.04619620480015402; r-1.8636062586700294E-17; vx-0.6936815056324761; vy-0.04270052487938858; vr0.09546961325966707;
x-12.210954733083437; y0.040822519244621505; r0.011933701657458365; vx-1.1083538881864783; vy-0.03224211333319507; vr0.0716022099447503;
x-12.6897323238614; y0.03534911263217763; r0.023867403314916748; vx-0.7690573879410749; vy-0.021654923798317904; vr0.04773480662983353;
x-13.28910075186987; y-0.013640622447902968; r0.131270718232045; vx-0.8142187995984429; vy-0.044515848670448714; vr0.09546961325967829;
x-13.873470315152193; y0.0012217121950755944; r0.09546961325966986; vx-0.5768256173668842; vy0.015039800181698282; vr-0.03580110497236674;
x-14.45027162921848; y0.002349799926547862; r0.10740331491712825; vx-0.7389457591173922; vy0.01995569276296054; vr-0.04773480662982227;
x-15.049677421192287; y-0.004187553100051986; r0.11933701657458663; vx-0.7991794741175795; vy-0.022992876810655455; vr0.047734806629844806;
x-15.645147122624268; y-0.06708385370621961; r0.23867403314917043; vx-0.6104319464949555; vy-0.08913846053360325; vr0.14320441988949212;
x-16.255687139723772; y-0.10966384820859079; r0.31027624309392354; vx-0.8140757480868928; vy-0.04705943878913427; vr0.09546961325966707;
x-16.84754004962164; y-0.1180071603667239; r0.3222099447513791; vx-0.58779048641183; vy-0.06730079544541936; vr0.1432044198895006;
x-17.488439401681617; y-0.11731907966687086; r0.3460773480663015; vx-0.5768245003852464; vy0.0031344960830125834; vr0.035801104972383646;
x-18.099099772102218; y-0.13162563135184616; r0.3699447513812126; vx-1.0175328729831001; vy-0.059884001640581816; vr0.11933701657458384;
x-18.566489056821144; y-0.14547589007154155; r0.393812154696135; vx-0.8142815810788164; vy-0.005596904983402484; vr2.2648549702353193E-14;
x-19.105356254586194; y-0.18047698975938836; r0.429613259668513; vx-0.9196771945600659; vy-0.028199771751066693; vr0.04773480662986729;
x-19.65549625965201; y-0.21695505788529115; r0.5012154696132577; vx-1.5822923644888576; vy-0.14149617232437345; vr0.2864088397790012;
x-20.141843609640446; y-0.21578865970245115; r0.4892817679558021; vx-0.9047456942178229; vy-0.007726334077458263; vr0.0;
x-20.80500239072611; y-0.2571109264945961; r0.5847513812154692; vx-0.7985666756918874; vy-0.07213847970996878; vr0.14320441988951194;
x-21.374174491178625; y-0.26829397124200854; r0.5966850828729248; vx-0.5766018461413296; vy-0.022006805006615282; vr0.03580110497236666;
x-22.251884633164707; y-0.33696479630493364; r0.7279558011049698; vx-0.7988901516866207; vy-0.0314806253592661; vr0.04773480662982266;
x-22.858959305037644; y-0.331557940144306; r0.7160220994475142; vx-0.7835649933654452; vy-0.05245884357811792; vr0.09546961325966707;
x-23.446699665433524; y-0.3638846964799949; r0.7876243093922644; vx-0.75334221400378; vy-0.0530360054624297; vr0.09546961325966707;
x-24.10214183532154; y-0.40540754054463524; r0.8592265193370148; vx-1.0546794989213915; vy-0.06912063849031092; vr0.11933701657458384;
x-24.625521765699116; y-0.4511046665508281; r0.9427624309392262; vx-0.8738174923040987; vy-0.05701027631451372; vr0.09546961325966707;
x-25.288578526658892; y-0.48355977718529547; r0.9904972375690653; vx-0.8885011089056434; vy-0.07929928022011867; vr0.14320441988953414;
x-25.970509719201253; y-0.5150488389391938; r1.0501657458563542; vx-0.875836856554514; vy0.05674177927972712; vr-0.09546961325966752;
x-26.682605066886012; y-0.5443720273120799; r1.0859668508287268; vx-0.9347700439454059; vy-0.01771947019848641; vr-2.220446049250313E-14;
x-27.31520709960113; y-0.5888596812192859; r1.157569060773477; vx-0.7831374584115594; vy-0.058495729160651155; vr0.09546961325966663;
x-27.95856221670382; y-0.6580910829838432; r1.2649723756906053; vx-1.0907444465096283; vy-0.13067410752638786; vr0.2386740331491688;
x-28.613881783562576; y-0.6942853543169912; r1.3127071823204444; vx-0.7985272656546414; vy-0.039632186931874536; vr0.04773480662984575;
x-29.239770802641193; y-0.697749431769298; r1.2888397790055222; vx-0.8140948054035135; vy-0.01831574308117645; vr-2.220446049250313E-14;
x-29.85306267522431; y-0.7570098006643383; r1.3723756906077391; vx-0.8123538257256797; vy-0.09229205591096123; vr0.09546961325966663;
x-30.60488425062516; y-0.8556093858785921; r1.5155801104972397; vx-1.0711916188068784; vy0.005326088437563659; vr-0.1432044198894893;
x-31.139757778777962; y-0.8808515646020604; r1.5394475138121508; vx-1.359624138787936; vy0.06984161763576913; vr-0.23867403314919544;
x-31.644452404061738; y-0.9052143461200391; r1.5633149171270673; vx-1.378408826288812; vy-0.0695858360633681; vr0.07160220994473132;
x-32.19828029070928; y-0.9256468462773114; r1.5752486187845287; vx-1.392901007764742; vy-0.09148095663087219; vr0.11933701657455553;
x-32.90976827770313; y-0.9724331877008959; r1.6349171270718292; vx-1.1862846456936538; vy-0.06049137994771192; vr0.05966850828733494;
x-33.62766397677538; y-1.0568463439157998; r1.7423204419889518; vx-0.810510272890383; vy-0.14016779667348356; vr0.19093922651933415;
x-33.62766397677538; y-1.0568463439157998; r1.7423204419889518; vx0; vy0; vr0;
