x0.06179868441777902; y-0.4483203657273098; r-0.2168014633907596; vx-0.004982364785097768; vy-1.316721332406631; vr0.0;
x0.04034244181915958; y-0.8273302518882535; r-0.1284749412685983; vx-0.05855583903354399; vy-0.5194926840084535; vr0.19070499094557547;
x-0.052151024035819275; y-1.3592264869616288; r0.10237846882341421; vx-0.061285867897490715; vy-0.434687541390713; vr0.16862336041503517;
x-0.10729363457760879; y-1.7966878998018392; r0.27100182923844945; vx-0.09100528073107149; vy-0.787355721696763; vr0.28103893402505853;
x-0.23003224709122178; y-2.54365240394593; r0.5640852890074393; vx-0.736938007664427; vy-4.17170125743455; vr1.5457141371378225;
x-0.2988789790848282; y-3.1214340802368508; r0.7487680170810492; vx-0.07415160009329691; vy-0.7527502985488006; vr0.2328608310493343;
x-0.35098557074378406; y-3.665832709163688; r0.9073542727094753; vx-0.06507475282090902; vy-0.6734041679460674; vr0.19271241190289778;
x-0.4084763025608413; y-4.211166451220319; r1.069955370252545; vx-0.07691685971510265; vy-0.6564280295620328; vr0.20074209573218482;
x-0.46659935853549706; y-4.746520112270891; r1.16229673428935; vx-0.10525195220732114; vy-0.9544194079487323; vr0.1304823622259188;
x-0.5315339822330823; y-5.367497817584006; r1.2747123078993734; vx-0.08109550642531982; vy-0.722381985275927; vr0.16059367658574786;
x-0.6006980129642726; y-6.010949849321489; r1.4493579311863742; vx-0.08654960796955935; vy-0.86024087613497; vr0.2408905148786218;
x-0.6677462105147194; y-6.673219237636137; r1.6420703430892714; vx-0.06913392388396344; vy-0.8990174616140756; vr0.23286083104933475;
x-0.7040622256257997; y-7.1990711851102365; r1.7605081795712603; vx-0.07211341519576475; vy-1.0952590867608976; vr0.21680146339075979;
x-0.7433351216971774; y-7.912819662881144; r1.880953437010571; vx-0.05101875860529903; vy-0.9156652908741627; vr0.12847494126859793;
x-0.8148465320364519; y-8.583564865582202; r2.017458062108457; vx-0.11601296258213045; vy-0.9253379319528463; vr0.2168014633907589;
x-0.8924681625796318; y-9.446231467540604; r2.166007212950274; vx-0.20745709616376973; vy-2.9322370481360824; vr0.4637142411413451;
x-0.946130938932319; y-10.832348950847733; r2.3045192590054815; vx-0.06873382921866678; vy-2.528714832419814; vr0.19672725381754175;
x-0.9943033257379661; y-11.400153560861076; r2.352697361981206; vx-0.07280485025143069; vy-1.0443370071970577; vr0.040148419146436964;
x-1.038119461896052; y-12.44942592016029; r2.396860623042287; vx-0.25538185624804166; vy-5.321817054951239; vr0.0542003658476915;
x-1.0477759306508891; y-12.988537962007035; r2.3968606230422873; vx-0.015708643585878868; vy-1.387603111604756; vr-0.020074209573215374;
x-1.0623502249128165; y-13.524041396902474; r2.37879383442639; vx-0.026590522890204582; vy-1.0380059343908385; vr-0.0321187353171517;
x-1.0753538287220843; y-14.03663053726958; r2.3607270458104943; vx-0.025769631918490354; vy-0.9358530389501567; vr-0.032118735317146374;
x-1.084224876631965; y-14.81443663765545; r2.3547047829385286; vx-0.03179187551048135; vy-4.646467161562999; vr-0.09033394307948317;
x-1.0810455350099633; y-15.334303907794515; r2.3205786266640565; vx0.009344132481541756; vy-1.017364924597004; vr-0.08029683829287393;
x-1.0768213803539908; y-15.87249674222463; r2.2724005236883325; vx0.007629619960917822; vy-0.9959138790083557; vr-0.08029683829287215;
x-1.0721565542392761; y-16.637825794075532; r2.24831147220047; vx0.004150193250894496; vy-1.063704719939338; vr-1.7763568394002505E-15;
x-1.054205862513351; y-17.455389928138377; r2.2302446835845737; vx0.022269872127710144; vy-0.9821882859976938; vr-0.03211873531714815;
x-1.039107399457645; y-18.016822884931393; r2.2101704740113552; vx0.03866553565170738; vy-1.4304101189972407; vr-0.050185523933046206;
x-1.0272562926558353; y-18.638823184997825; r2.1900962644381368; vx0.01921391421292218; vy-1.5504257137663657; vr-0.04014841914643741;
x-1.013265395157228; y-19.339071236124266; r2.1840740015661715; vx0.06375949499351208; vy-2.409223730499974; vr-0.012044525743930556;
x-0.9920513166490436; y-20.250739018879873; r2.1479404243343785; vx0.027905134755972227; vy-1.1672114381340748; vr-0.048178102975724;
x-0.9719313725615144; y-20.94999893023044; r2.1298736357184818; vx0.052922450239402674; vy-1.7774644321812794; vr-0.04014841914643741;
x-0.9544406387050333; y-21.636995391453507; r2.1218439518891943; vx0.045467980878047265; vy-1.7643081911906577; vr-0.04014841914643741;
x-0.931451770822431; y-22.677796987058503; r2.075673269870792; vx0.13098788990330645; vy-6.5026368730637; vr-0.325202195086137;
x-0.9206849296265929; y-23.311148717398236; r2.0435545345536426; vx0.02660928084208869; vy-1.5817712064310463; vr-0.0702597335062638;
x-0.9178562944445051; y-23.974158199382458; r2.0375322716816764; vx0.006906495760278908; vy-1.2487204377258507; vr-0.01605936765857585;
x-0.9045228169294163; y-24.670911151248685; r2.011435799236493; vx0.031271512873186635; vy-1.8281894333522075; vr-0.10037104786609241;
x-0.8914550774496028; y-25.77730872916492; r1.9351538028582624; vx0.010666966452947402; vy-1.4896124334671867; vr-0.12044525743931;
x-0.8859480995640096; y-26.5173858987675; r1.9251166980716534; vx0.01319715325288362; vy-1.4270051174183465; vr-0.024089051487861113;
x-0.8804877840139179; y-27.182045749746415; r1.8829608579678947; vx0.009321191995564693; vy-1.3272252259501869; vr-0.1043858897807377;
x-0.8878807864091075; y-27.92533369647179; r1.7886120729737682; vx-0.03446979873187184; vy-2.309529257753333; vr-0.32520219508613835;
x-0.9083963190205088; y-29.41162966549762; r1.6521074478758828; vx-0.09034665318362567; vy-9.56634108361122; vr-0.6845305464467395;
x-0.9212209736410268; y-30.0690132008515; r1.5577586628817557; vx-0.03363861728834694; vy-1.1933715451699811; vr-0.2007420957321857;
x-0.9339672543107521; y-30.821675777659806; r1.4634098778876292; vx-0.03520735384668794; vy-1.9731530724113; vr-0.24089051487862112;
x-0.9631113151845828; y-31.934269004488534; r1.3289126737470651; vx-0.03950802771400541; vy-1.3704803466662554; vr-0.20074209573218482;
x-0.991006218082121; y-32.631195969354565; r1.1984303115211452; vx-0.06658123269757232; vy-1.8521385947626712; vr-0.32118735317149594;
x-1.0202303402156307; y-33.30635440415106; r1.0860147379111218; vx-0.05136296433013321; vy-1.3409830699044107; vr-0.18468272807361075;
x-1.0436838758718294; y-34.030082167798476; r0.9876511110023515; vx-0.05377373822796283; vy-1.3245903094033906; vr-0.21680146339075934;
x-1.0823607853866635; y-35.17472608567977; r0.8190277505873157; vx-0.06159649670943512; vy-1.6873160260601239; vr-0.26096472445183927;
x-1.1038934066840385; y-35.8935905030453; r0.7246789655931887; vx-0.04486914602097336; vy-1.254520643029764; vr-0.18468272807360986;
x-1.122846833135643; y-36.64501543847622; r0.644382127300315; vx-0.0509018927870708; vy-1.918850955392024; vr-0.20074209573218427;
x-1.1488831690527364; y-37.97475160030397; r0.5239368698610039; vx-0.12851852764495475; vy-6.874460576835659; vr-0.5962040243245915;
x-1.1638629491813908; y-38.71004508863973; r0.4596993992267047; vx-0.025314352053929845; vy-1.441105148890955; vr-0.11241557361002319;
x-1.1745896949768646; y-39.48463459438897; r0.4095138752936587; vx-0.023095331160011057; vy-1.5525147183257388; vr-0.10438588978073571;
x-1.1844647380445004; y-40.484704427546745; r0.359328351360612; vx-0.024368870220255356; vy-2.9932298676116886; vr-0.1324897831832451;
x-1.2041070592667373; y-41.94398866008509; r0.27501667115309447; vx-0.008081014103953343; vy-2.4056373987400903; vr-0.06022262871965667;
x-1.2032920527408977; y-42.82208640547071; r0.2649795663664856; vx0.0031659743038292554; vy-2.103830088763523; vr-0.020074209573218982;
x-1.2053267774313943; y-43.84543031191325; r0.2449053567932667; vx-0.01595435141802226; vy-3.7459878453603537; vr-0.09836362690877282;
x-1.2167745204722478; y-45.32093986271497; r0.1927124119028988; vx-0.014414835239921153; vy-1.9378380891830318; vr-0.06423747063430074;
x-1.2265616042500491; y-46.464302591770945; r0.15256399275646162; vx-0.011098363840109648; vy-2.0013229048903014; vr-0.050185523933047316;
