x-0.2433087444265379; y-0.12209642176251748; r1.3048236222592011; vx-0.0333503196019157; vy-0.07907734033270886; vr0.7146418608065774;
x-0.4097555569634772; y-0.3831000584496425; r3.7398252434906034; vx-0.04146533217368176; vy-0.11371678181770384; vr0.979621427173063;
x-0.4448485021136595; y-0.6774901109423249; r5.528437316464369; vx-0.018892512774393078; vy-0.1457516308916107; vr1.0117401624902058;
x-0.4283872123687485; y-1.0357538047510355; r7.953401832909162; vx0.002466800604772612; vy-0.10896402293637908; vr0.8792503793069679;
x-0.4181703104772188; y-1.3855320029425922; r11.022748476654268; vx-0.015437130651927089; vy-0.7964053627261027; vr6.865379674040721;
x-0.39518284674401455; y-1.6976651763572195; r13.20080021534847; vx0.039932295220092895; vy-0.22373959474494498; vr1.4935211922474494;
x-0.3224910876529724; y-2.013673594139644; r15.340710955853561; vx0.051848283655939964; vy-0.14199261348822123; vr1.5015508760767347;
x-0.23547652391765245; y-2.4089850541480398; r18.61682195820282; vx0.2794051783624997; vy-1.1145874488865433; vr8.346856340544235;
x-0.14926135020015777; y-2.7050874243050766; r21.160224311129603; vx-9.801603021165062E-4; vy-0.08955595083967083; vr4.239673061863748;
x-0.04126238914546894; y-3.0672499006180782; r23.43663967673258; vx0.07597331409732089; vy-0.22753523778245643; vr1.9190944351996961;
x0.10500446411176513; y-3.3542986154406584; r26.136620864330464; vx0.08616298098531316; vy-0.16057290655554013; vr1.8066788615896456;
x0.2302043270696695; y-3.6927139950239156; r28.35080618025647; vx0.05679781029252198; vy-0.1930222495452769; vr1.228541625880986;
x0.40794819892820344; y-4.027850471534669; r31.0648393145556; vx0.10200201644139151; vy-0.13546169552598286; vr1.790619493931061;
x0.5883664381682814; y-4.342020437748649; r33.931436441611204; vx0.1798978886845477; vy-0.27716482753913496; vr1.9190944351996677;
x0.8310279704554553; y-4.708421565478571; r36.759892570477696; vx0.15818670894557296; vy-0.25533900542733523; vr2.479164882292473;
x1.0696467108148986; y-5.045008165308191; r40.55391817981599; vx0.12940905514605738; vy-0.09978460485248775; vr2.07968811178543;
x1.3055662436412199; y-5.340530672766652; r43.19969900156619; vx0.19913439831150992; vy-0.2593778128357833; vr2.015450641151176;
x1.5793056521683555; y-5.690621237590213; r46.586218156568144; vx0.3508667449345282; vy-0.3609930119795157; vr5.578622840397465;
x2.049233831518037; y-6.151689136074724; r51.23741251468286; vx0.2880477678399451; vy-0.2838150101425585; vr2.8806490737568424;
x2.303936709381232; y-6.379526345115761; r54.00966085674433; vx0.4146387906267437; vy-0.3315738309774652; vr5.516392790720488;
x2.58081084893592; y-6.560043762269368; r56.89633219337315; vx0.20880941396244168; vy-0.08717240895093425; vr1.9913615896632848;
x3.056454317063995; y-6.887267529915941; r60.714446854199295; vx0.1972439318638397; vy-0.1379019005305686; vr2.2161927368833005;
x3.4021061291575183; y-7.107027947375255; r64.17724800557947; vx0.43372020568947; vy-0.22531319519430326; vr2.738122185786949;
x3.7460668055341997; y-7.3042681859103675; r66.73871714712217; vx0.23941453550435732; vy-0.15857538716380404; vr2.280430207517668;
x4.059569690204765; y-7.4569483340262765; r69.39854991557361; vx0.3361265957699331; vy-0.10284397259113831; vr3.1636954287392314;
x4.463193085171915; y-7.628579428462981; r72.58031213292874; vx0.2573520825627629; vy-0.12617663765253884; vr1.8669014903093029;
x4.902101388391786; y-7.803786403493023; r75.94274223644283; vx0.3948814489233037; vy-0.17900564075994296; vr2.8184190240798443;
x5.2393975829585; y-7.927805532637072; r78.39179580437549; vx0.2249348908015678; vy-0.09173724233979996; vr1.668166815534434;
x5.803657743420796; y-8.060393500098765; r82.69169149495887; vx2.9616415032649304; vy-0.7998103346445093; vr20.513834762871895;
x6.184428035783882; y-8.143129271592814; r85.61248898786218; vx0.390038813762974; vy0.008570298702551327; vr2.6979737666405867;
x6.686329071690611; y-8.188630985168265; r89.1435424517913; vx0.14256691007133782; vy-0.04653532299327168; vr2.3125489428347805;
x7.037852426762928; y-8.215804525450745; r92.55214323732379; vx0.21299687423748104; vy-0.026487153384540107; vr3.2319477412881525;
x7.518220148112129; y-8.244165175121395; r95.48097041405637; vx0.33739592090122983; vy-0.025508460978286962; vr2.6979737666405867;
x7.89563555131193; y-8.262989021765529; r98.93574188160727; vx0.28485918826233103; vy-0.05658523836581253; vr2.938864281519159;
