x-0.25608315425628514; y-0.1525282296134406; r0.28640883977900555; vx-0.1207864096165363; vy0.02955587689819128; vr0.0;
x-0.5619372504920441; y-0.013885078074479761; r0.05966850828729285; vx-0.12452517178846423; vy0.07077524425345852; vr-0.10740331491712729;
x-0.8483826775454415; y0.10898303518821867; r-0.17900552486187848; vx-0.3391965477585206; vy0.03323133453833246; vr-0.07160220994475114;
x-1.1607384621028125; y0.22776159996386297; r-0.4057458563535913; vx-0.2108238128328237; vy0.04439560849937152; vr-0.09546961325966996;
x-1.7369558575168687; y0.30219573324791743; r-0.5608839779005524; vx-0.564576502258372; vy0.10190456585803176; vr-0.21480662983425325;
x-2.1737949287976623; y0.3497644872771725; r-0.656353591160221; vx-0.8664335549997193; vy0.06330504934762338; vr-0.11933701657458384;
x-2.531851435173005; y0.35924043236414693; r-0.6682872928176793; vx-0.3465628436690338; vy0.025466387816285962; vr-0.047734806629833315;
x-2.905199208294684; y0.3506227928024119; r-0.656353591160221; vx-0.45279151300415377; vy-0.03251439136989581; vr0.0;
x-3.311939987371229; y0.3876342340025977; r-0.7279558011049718; vx-0.37618463565303983; vy0.06903360604110387; vr-0.1432044198895004;
x-3.711421221617076; y0.4003171851169234; r-0.7279558011049725; vx-0.3169237007098147; vy-0.017403710336500566; vr0.04773480662983376;
x-4.156377146728645; y0.39502855350533483; r-0.7040883977900543; vx-0.39204116000557576; vy0.004817903343358854; vr5.773159728050814E-15;
x-4.585658251390304; y0.4369637071293866; r-0.7518232044198895; vx-0.39164127749374344; vy0.03530121578383927; vr0.0;
x-5.011732514014552; y0.43392579585876123; r-0.7160220994475144; vx-0.48306352718136836; vy-0.03675467766968721; vr0.09546961325966619;
x-5.373342883511283; y0.4600097933534628; r-0.7637569060773479; vx-0.4369900082197624; vy0.02723101323144972; vr-0.04773480662983376;
x-5.798837275946553; y0.5002644959107957; r-0.8234254143646412; vx-0.31663983733959356; vy0.004550897871882675; vr0.0;
x-6.352789097436284; y0.5241038461641427; r-0.8592265193370163; vx-2.641085203612593; vy0.42214768047362283; vr-0.8592265193370157;
x-6.827300087261306; y0.560408908456848; r-0.9069613259668513; vx-0.497231802072136; vy0.029265343891485163; vr-0.0477348066298342;
x-7.317328448591943; y0.5682944468453007; r-0.9069613259668514; vx-0.6793674366198488; vy-0.04270595558903523; vr0.11933701657458384;
x-7.731795750828923; y0.5856579074646384; r-0.9308287292817682; vx-0.5126402621908213; vy0.008329099867176115; vr0.0;
x-8.157482602965786; y0.6086644353719114; r-0.9666298342541447; vx-0.5420863927856772; vy0.05191576648011731; vr-0.09546961325966663;
x-8.545454856368213; y0.63141394075076; r-1.0024309392265185; vx-0.5126294530604767; vy0.00896973681792046; vr0.0;
x-9.15149765233817; y0.6875073978461316; r-1.08596685082873; vx-2.811747762358527; vy0.2645255606599358; vr-0.3222099447513769;
x-9.610571869825913; y0.7361847987084794; r-1.1575690607734832; vx-0.5867310054755208; vy0.07598539463292164; vr-0.14320441988951238;
x-10.070477803343085; y0.7423676917904131; r-1.1337016574585663; vx-1.1112205947935276; vy-0.12757862039310497; vr0.3341436464088161;
x-10.522198731737884; y0.7804485418267126; r-1.1814364640883972; vx-0.6478509365088954; vy0.0347247795439225; vr-0.047734806629833315;
x-11.008076068639813; y0.8066929576728044; r-1.2172375690607755; vx-0.6478291123590125; vy0.035129580554958295; vr-0.04773480662984575;
x-11.42998111636747; y0.8264733653266078; r-1.2411049723756893; vx-0.7914956216366775; vy0.017147560081490765; vr1.4432899320127035E-14;
x-11.994617299192155; y0.8712801110642909; r-1.3127071823204426; vx-0.8286787831693943; vy0.04031682783153867; vr-0.0477348066298342;
x-12.559102835950052; y0.9211739670569995; r-1.3604419889502763; vx-1.0933426101607058; vy0.01037870029806931; vr0.11933701657458218;
x-13.234502203494406; y0.9073650002231737; r-1.2769060773480674; vx-1.5940631897763353; vy-0.4120103609092717; vr1.0024309392265058;
x-13.798125598442445; y0.9960077461844249; r-1.4439779005524875; vx-0.6622351635842207; vy0.05941995306195258; vr-0.09546961325966663;
x-14.32882910822437; y1.036403800844448; r-1.5036464088397794; vx-0.8472431034616967; vy0.048940748740324835; vr-0.059668508287291644;
x-14.89525711340914; y1.0083473549730817; r-1.4081767955801099; vx-1.5126223773161218; vy-0.29863964911377194; vr0.7518232044198965;
x-15.330826857105546; y1.0839816953070252; r-1.5513812154696134; vx-0.7380584362493181; vy0.04133774633970688; vr-0.04773480662982266;
x-15.896194540190027; y1.0960480912070043; r-1.5275138121546992; vx-0.7082547179939453; vy0.027701947033428098; vr0.04773480662982177;
x-16.42742407386166; y1.1155158641844498; r-1.5394475138121546; vx-0.9030408912061105; vy0.07764834768741902; vr-0.11933701657458329;
