x-0.32427910356862244; y-0.015380448820576837; r-2.329507823337537E-17; vx-0.16588056548772134; vy0.021460192687918614; vr-0.04773480662983423;
x-0.7125597548644897; y0.01485256167855191; r-0.08353591160220993; vx-0.4372558219022098; vy0.06484853987338098; vr-0.1432044198895027;
x-1.153585545368617; y0.05347418349059907; r-0.16707182320441982; vx-0.3959226856503817; vy-0.02563159905910814; vr0.05966850828729359;
x-1.6059067867087475; y0.07633115373172482; r-0.21480662983425441; vx-0.7688427166666205; vy0.06704677654974214; vr-0.14320441988950477;
x-1.9676209383629528; y0.1250949302928183; r-0.2864088397790058; vx-0.40673255045597134; vy0.09642345256464319; vr-0.1432044198895035;
x-2.6159053233947995; y0.1542500837440031; r-0.3102762430939228; vx-3.6639682228901993; vy0.08356377438253104; vr-0.14320441988949995;
x-3.094525168588353; y0.18384037874464215; r-0.36994475138121546; vx-0.49748425339921276; vy0.024603718516115758; vr-0.04773480662983354;
x-3.543027865725179; y0.20301472728698297; r-0.4057458563535913; vx-0.5126950652057367; vy0.0036307626411553606; vr-2.886579864025407E-15;
x-3.9425532450307594; y0.21661917757751037; r-0.429613259668508; vx-0.5727076998638623; vy0.047046317694511175; vr-0.09546961325966974;
x-4.353251625267419; y0.24670688613601213; r-0.4892817679558021; vx-0.3956926289533813; vy0.01941832463691648; vr-0.035801104972379316;
x-4.794463500265382; y0.2344112060738087; r-0.45348066298342565; vx-0.6986087691092902; vy-0.1280905199769912; vr0.29834254143646627;
x-5.231521830983905; y0.26699311069105275; r-0.501215469613259; vx-0.5424902163592833; vy0.04751072728409511; vr-0.09546961325966685;
x-5.661014340766622; y0.29993443063775005; r-0.5489502762430939; vx-0.5577208873197392; vy0.026723194131361705; vr-0.047734806629833315;
x-6.294433175357771; y0.2951526646896926; r-0.5250828729281771; vx-4.026692680120245; vy-0.026744941835174396; vr0.14320441988950128;
x-6.870948492093677; y0.32748483202325523; r-0.5847513812154705; vx-0.8665119903693252; vy0.06222222310836828; vr-0.11933701657459161;
x-7.376343995954721; y0.3112853518682351; r-0.5370165745856356; vx-0.8317026766071489; vy-0.20577900860487996; vr0.4773480662983426;
x-7.831786155258486; y0.3860354834103535; r-0.6921546961325958; vx-0.45198251244065624; vy0.03751638550034608; vr-0.0716022099447503;
x-8.246182089382073; y0.41262054897171435; r-0.7398895027624308; vx-0.5274718797138149; vy0.02819848702879635; vr-0.04773480662983376;
x-8.67993532097907; y0.39889191901217186; r-0.6802209944751362; vx-0.8121981040898429; vy-0.12386443132745201; vr0.2983425414364732;
x-9.16207230666045; y0.43707493221261334; r-0.7518232044198893; vx-0.5883404129797967; vy-0.013653567044342063; vr0.04773480662984486;
x-9.61797685969431; y0.4593040771726792; r-0.7876243093922644; vx-0.4523465987736266; vy0.0062186364199910416; vr0.0;
x-10.077864576670015; y0.46556120676071094; r-0.7876243093922672; vx-0.5877612548894362; vy0.029454518992222845; vr-0.04773480662984486;
x-10.755658173853421; y0.5258121670192287; r-0.8830939226519342; vx-0.6026493216849858; vy0.03945217935664358; vr-1.1546319456101628E-14;
x-11.219384993825175; y0.527585782651239; r-0.8711602209944759; vx-0.6185232820433484; vy-0.011963305260879409; vr0.04773480662982177;
x-11.697749269129499; y0.5585539274491305; r-0.906961325966851; vx-0.7723178015692245; vy0.03893720235004727; vr-0.05966850828730663;
x-12.311846457595474; y0.5890235964344295; r-0.9188950276243093; vx-2.805568394991255; vy-0.021907040319450566; vr0.28640883977900167;
x-12.846634811387974; y0.6267140332053686; r-0.9666298342541456; vx-0.5307016558937416; vy0.0569921045871532; vr-0.10740331491713362;
x-13.41147979160076; y0.6687792751419532; r-1.0382320441988961; vx-0.7987079600966993; vy0.035806406033795035; vr-0.0477348066298342;
x-13.995624564537486; y0.6846999843847434; r-1.0501657458563547; vx-0.5311781028956144; vy0.025750006086833532; vr-0.03580110497237565;
x-14.534677485099024; y0.6925608865247502; r-1.0620994475138101; vx-0.5211940661684924; vy-0.044991698652965595; vr0.07160220994475797;
x-15.06991469917299; y0.7024468750647874; r-1.0620994475138128; vx-0.5311727281012768; vy0.025860640570094517; vr-0.035801104972383646;
x-15.66117895036306; y0.740448009059532; r-1.1217679558011018; vx-0.7831738564175481; vy0.058006376558215056; vr-0.09546961325965597;
x-16.24938391271845; y0.7412154613574014; r-1.0979005524861851; vx-0.7994875718038372; vy-0.006010554556425962; vr0.04773480662985552;
x-17.11222740788065; y0.7740417875548721; r-1.13370165745856; vx-0.7994911714079933; vy-0.005510995878771574; vr0.04773480662984486;
